job_id,job_title,company_name,location,hourly_min,hourly_max,salary_type,job_type,recruiter_name,recruiter_email,posted_date,description_short,skills_tags,url
933707,Presentation Designer,"Quad, Inc.","Flower Mound, TX",40,45,Hourly,Contract,Kellen Breitenbach,,2026-04-01 16:54,"Our agency client, is looking for REMOTE Presentation Designer to work on formatting and design of PowerPoint for client pitches and RFPs. This is part-time, remote, and ongoing freelance role startin","Adobe Photoshop, slide design, master slides, template creation, Microsoft Office, Adobe After Effects, Adobe Premiere Pro, Data Visualization, infographics, Typography",https://candidateportal.creativecircle.com/job-detail/933707
933701,Space Designer / Architect ,EPAM Systems,"Boston, MA",55,65,Hourly,Contract,Andrew Shores,,2026-04-01 16:28,We are seeking talented Spatial Designer/Environmental Designer to join our team as key liaison between our internal design vision and external architecture partners. This role is ideal for someone wh,"rhino, Rendering Software, Architecture",https://candidateportal.creativecircle.com/job-detail/933701
933658,Graphic Designer (Remote + 30 hours/week),HALO Branded Solutions,"Seattle, WA",40,45,Hourly,Contract,Kristi Seifert,,2026-03-31 23:54,"Our agency client is looking for graphic designer to assist their team! This is fully remote freelance role starting as soon as April for about 4 months and around 30 hours per week. In this role, the","CPG, Print Design, Product Mockups",https://candidateportal.creativecircle.com/job-detail/933658
933613,Senior Graphic Designer (AEM),BirdDog Interactive,"Scottsdale, AZ",27,30,Hourly,Contract,Lyla Weiss,,2026-03-31 19:25,"Job Title: AEM Content Designer (Remote) Location: Remote Schedule: Full-time, Monday-Friday, 9:00 AM - 5:00 PM PST What You'll Be Doing -Build and update digital content within Adobe Experience Manag","Adobe Experience Manager (AEM), AEM Sites, AEM Assets (DAM), AEM templates & components, Sling, HTL / Sightly, AEM Workflows, Adobe Creative Suite (Photoshop, Granite UI, Illustrator",https://candidateportal.creativecircle.com/job-detail/933613
933573,3D Designer,TIMBERBASE,"Grand Rapids, MI",50,60,Hourly,Contract,Shannon Scheetz,,2026-03-31 16:08,Location : Fully Remote Start: Mid-April (Pilot Kickoff) Initial Duration : 2 to 3 Months (30-40 hrs/week) - Central Time working hours Potential Extension at Reduced Capacity Our client is seeking Se,"Revit, interior, 3D, CAD",https://candidateportal.creativecircle.com/job-detail/933573
933567,Freelance Sr Digital Designer,Cogs & Marvel,"San Francisco, CA",45,55,Hourly,Contract,Amanda Zaro,,2026-03-31 15:47,"Position Overview Our client, an events / experiential agency, is looking for senior level Digital Designer with strong UX/UI foundation to design event-driven web experiences. The ideal candidate wil","UX Design, Figma, UI Design, Digital Design, Responsive Web Design, RainFocus, Events",https://candidateportal.creativecircle.com/job-detail/933567
933545,Motion Graphics Designer,Combustion Point,"Wadsworth, IL",35,40,Hourly,Contract,Cody Pickett,,2026-03-31 13:56,Motion Graphics Designer Project-Based | Remote-Friendly Our agency client is seeking Motion Graphics Designer to help bring new website landing page to life. This short-term project involves creating,"Web Motion, Logo/Branding, Animation, Digital Design",https://candidateportal.creativecircle.com/job-detail/933545
933535,Presentation Designer,Vital Findings,"Culver City, CA",40,45,Hourly,Contract,Shannon Robinson,,2026-03-31 00:45,"Our agency client is seeking Presentation Designer! This role is remote for 1-2 weeks, about 8-10 hours of total work. WHAT YOU'LL DO: - Receive reporting data from the data team and translate it into","Presentation Design, Data Visualization, PowerPoint",https://candidateportal.creativecircle.com/job-detail/933535
933527,Graphic Designer (FTE + Mostly Remote),"Amen Clinics, Inc.","Costa Mesa, CA",,,Annually,Permanent,Kristi Seifert,,2026-03-30 21:59,"Our healthcare industry client is looking for versatile, agency-minded Graphic Designer (mid-level) who thrives in fast-moving environment with lots of moving parts. This role is perfect for someone w","Figma, Healthcare, marketing collateral",https://candidateportal.creativecircle.com/job-detail/933527
933418,Art Director / Senior Designer,Mars United Commerce,"Southfield, MI",39,43,Hourly,Contract,Sasha Walker,,2026-03-30 12:36,"Our client, an eCommerce agency, is currently seeking Freelance Art Director / Senior Designer with strong PDP, eCommerce, and print experience to support large, high-profile CPG client within their e","Art Director, Senior Designer, PDP, shopper marketing, Creative Suite, Campaigns, ecomm",https://candidateportal.creativecircle.com/job-detail/933418
933383,Web Designer,Egnyte,"Mountain View, CA",52,57,Hourly,Contract,Jessica Palmer,,2026-03-27 21:03,"Our B2B Saas client is looking for fully remote Senior Web Designer to work with their team for 6 months at 20 hours per week. The Web Designer, will be taking new branding templates and guidelines fr","Mobile-First Design, UX/UI Design, Wireframing, Prototyping, Figma, Sketch, Adobe XD, A/B Testing",https://candidateportal.creativecircle.com/job-detail/933383
933362,"Product Designer, Design Systems ",Dish,"Englewood, CO",58.5,62.5,Hourly,Contract,Lucy D'Angelo,,2026-03-27 19:48,Overview of the Role Our leading television provider client is seeking Product Designer who specializes in design systems . This position requires deep expertise in establishing and scaling design sys,"Design Systems, components, component building",https://candidateportal.creativecircle.com/job-detail/933362
933290,Freelance Social Designer,Edelman,"New York, NY",30,40,Hourly,Contract,Amanda Zaro,,2026-03-27 13:32,"Position Overview Our client, well-known agency, is looking for freelance Social Designer to assist their team with quick 2-day project (April 2-April 3). These will be full 8 hour days, 100% remote, ","Adobe CS, Photoshop, Illustrator, Instagram, Social Media Design, Tech, Agency",https://candidateportal.creativecircle.com/job-detail/933290
933163,"Designer, Branding",Alliance for Safety and Justice,"Oakland, CA",40,45,Hourly,Contract,Jennifer Marshall,,2026-03-26 16:47,"Our client, non-profit that focuses on social justice, is seeking to build bench: Branding Designer, Video Editors, Motion Designers all welcome! You will be helping produce some key assets from recen","Design, Branding, Creative Suite",https://candidateportal.creativecircle.com/job-detail/933163
933046,Industrial Junior Designer,"Crocs, Inc.","Broomfield, CO",20,25,Hourly,Contract,April Segedi,,2026-03-25 18:54,"Our retail client is looking for Junior Industrial Designer to join their team! This is remote, 40 hr/week role. We're looking for Junior Industrial Designer who is eager to learn, excited by pop cult","Industrial Design, Retail, footwear, tech packs, design packs",https://candidateportal.creativecircle.com/job-detail/933046
933035,Graphic Designer ,National Football League Players Association (NFLPA) /// The Trust,"Washington, DC",40,44.5,Hourly,Contract,Miranda McAdams,,2026-03-25 17:59,"Sports forward non-profit is seeking Graphic Designer to work with their team. This is an ongoing, 20-25 hours/week, fully remote role. Candidate must work EST hours. The Graphic Designer will support","Graphic Design, Print, Digital, template creation, email, Social Media, Presentations, Pamphlets, Adobe Creative Suite, PowerPoint",https://candidateportal.creativecircle.com/job-detail/933035
933025,Senior Digital / UX Designer ,Navi,"Boston, MA",50,60,Hourly,Contract,Casey Buss,,2026-03-25 15:13,"Senior Digital / UX Designer Location: Fully remote Schedule: 40 hours per week, ideally working EST hours but there'flexibility here Duration: 3 to 6 month contract with intent to convert full time P","Visual Design, UX Design, UX Strategy, Design Strategy, Figma, Conceptual Design, Attention to detail, Canva, Start Up, Business Design",https://candidateportal.creativecircle.com/job-detail/933025
932951,Visual Designer,Avery Dennison,"Mentor, OH",50,55,Hourly,Contract,Marie Hanan,,2026-03-24 21:06,"Our client is seeking highly adaptable Graphic Designer to support ongoing, ad hoc creative needs as part of multi-year brand systems initiative. This is part-time, project-based freelance role with v","Design, Digital, Print",https://candidateportal.creativecircle.com/job-detail/932951
932934,Graphic Designer ,National Dentex,"Jupiter, FL",40,45,Hourly,Contract,Mallory Orr,,2026-03-24 20:12,"Graphic Designer Summary: Our client, national dental lab company, is seeking talented Graphic Designer to support their marketing team. This is fully remote freelance role, up to 40 hours per week, a","Graphic Design, Adobe Creative Cloud, InDesign, Design Layout, Creative Strategy, Design Strategy, Canva, video editing",https://candidateportal.creativecircle.com/job-detail/932934
932923,Freelance Digital Designer,Push Digital,"Charleston, SC",25,30,Hourly,Contract,Bailey O'Connell,,2026-03-24 19:48,"Our client, an award-winning campaign agency, is looking for freelance Digital Designer to assist their team for the next 6 months, 40 hours per week, fully remote! The Freelance Digital Designer will","Design, Photoshop, Adobe CS",https://candidateportal.creativecircle.com/job-detail/932923
932917,Motion Graphics Designer,"Mahle, Inc.","Farmington Hills, MI",40,50,Hourly,Contract,Cody Pickett,,2026-03-24 19:37,"Motion Graphics Designer (Mechanical Products / Auto Parts) About the Role Our client is seeking skilled Motion Graphics Designer with experience working on auto parts, engine components, or other man","After Effects, Automotive, Longform content",https://candidateportal.creativecircle.com/job-detail/932917
932914,ADA Compliance Designer,Miami University,"Oxford, OH",50,75,Hourly,Contract,Pamela Koenig,,2026-03-24 19:18,Our client is the marketing communications team of major university seeking Graphic and Production Designer with skills in making documents ADA-compliant. This is fully remote assignment that should t,"Production, Design, ADA compliance",https://candidateportal.creativecircle.com/job-detail/932914
932881,Freelance Digital Designer,Push Digital,"Charleston, SC",25,30,Hourly,Contract,Bailey O'Connell,,2026-03-24 17:14,"Our client, an award-winning campaign agency, is looking for freelance Digital Designer to assist their team for the next 6 months, 40 hours per week, fully remote! The Freelance Digital Designer will","Design, Photoshop, Adobe CS",https://candidateportal.creativecircle.com/job-detail/932881
932855,"UI Designer, Remote",Fide Creative,"Thornhill, ON",40,45,Hourly,Contract,Natalie Panetta,,2026-03-24 15:34,"UI Designer Fully Remote Duration: approx 2-3 weeks, part-time hours Rate: $40-45/hr. Our professional services client is looking for UI Designer to lead the design of an interactive, data-driven appl","UI Design, Web Development, Figma",https://candidateportal.creativecircle.com/job-detail/932855
932839,Presentation Designer ,Signet Jewelers,"Coppell, TX",55,60,Hourly,Contract,Cody Pickett,,2026-03-24 14:27,Our retail client is looking for highly skilled Presentation Designer to develop new corporate Master PowerPoint deck that will serve as the foundation for all future company presentations. This remot,"PowerPoint, Presentation Design, Layout Design",https://candidateportal.creativecircle.com/job-detail/932839
932837,3D Motion Designer,Cosgrove Associates,"White Plains, NY",40,52,Hourly,Contract,Jennifer Marshall,,2026-03-24 14:22,"Our client, marketing agency specialized in the financial services industry, is looking for freelance 3D Renderer/ Motion Designer to support the team with 2 week sprint starting today! You will be wo","Adobe After Effects, Adobe Premiere, 3D Motion Design, Cinema 4D, 3DS Max, Houdini, Maya, Blender",https://candidateportal.creativecircle.com/job-detail/932837
932776,"Motion Graphics Designer, Social Media",Verse and Hook,"Detroit, MI",40,45,Hourly,Contract,Amanda Zaro,,2026-03-19 20:30,Position Overview Our client is looking for Motion Graphics Designer to join their team. This is fully remote role. You will create 3-5 motion-driven posts per week for social! Key Responsibilities Cr,"Motion Graphics, Animation, Design, Social, Typography",https://candidateportal.creativecircle.com/job-detail/932776
932717,Senior Graphic Designer ,Wasserman,"Harrisburg, NC",40,45,Hourly,Contract,Casey Buss,,2026-03-23 16:08,"Senior Production Designer / Large Format Designer Location: Remote Schedule: 4 days per week Monday-Thursday, 9-5p ET Duration: 3 month contract with potential for extension Pay Range: $40-$45 per ho","Environmental Design, Production Design, Large Format Design, InDesign, Illustrator, print mechancials, 2D Design, Live Events, 3D Design",https://candidateportal.creativecircle.com/job-detail/932717
932635,Senior Product Designer - Mobile,Thrivent Financial,"Appleton, WI",55,68.5699,Hourly,Contract,Sammy Realon,,2026-03-20 19:20,"Sr Product Designer Position Overview Our client, financial services organization, is seeking Senior Product Designer with deep expertise in designing high-quality native mobile app experiences. This ","User Experience Design, Mobile Applications, Prototyping, Wireframing, Figma, usability testing, Responsive Design, Mobile App Design",https://candidateportal.creativecircle.com/job-detail/932635
932613,Presentation Designer,Sherwin-Williams,"Cleveland, OH",45,50,Hourly,Contract,Mallory Orr,,2026-03-20 18:08,Our client in the manufacturing space is looking for freelance Presentation Designer in short-term capacity. High-Level Overview: Hours/week: Will vary depending on the designer'workflow and efficienc,"Presentation Design, PPT, Visual Design, PowerPoint, Manufacturing, CPG",https://candidateportal.creativecircle.com/job-detail/932613
932535,Creative Director ,University of Colorado Boulder,"Boulder, CO",50,55,Hourly,Contract,Avni Vachhani,,2026-03-19 23:26,Position Overview The Creative Director will lead and inspire our creative team to develop innovative concepts and campaigns that align with our brand vision. This role is pivotal in ensuring that all,"Graphic Design, Branding, Marketing, Digital Media, Project Management, Team Leadership, Content creation, Visual Communication, Art Direction, Copywriting",https://candidateportal.creativecircle.com/job-detail/932535
932509,Data Visualization Designer ,Atlantic Council,"Washington, DC",37.5,45,Hourly,Contract,Andrew Shores,,2026-03-19 19:57,"Our client NFP organization seeks part-time as-need Data Visualization Designer who can turn complex data into clear, compelling visual stories across reports, articles, marketing materials, and event","Data Visualization, Illustration, inforgrahics, Adobe Creative Suite, Large Data Sets, Flourish, DataWrapper",https://candidateportal.creativecircle.com/job-detail/932509
932506,Branding Designer ,Atlantic Council,"Washington, DC",33.5,40,Hourly,Contract,Andrew Shores,,2026-03-19 19:44,"Our client is is nonpartisan international affairs think tank, that promotes U.S. cooperation with allies to address global political, economic, and security challenges. It conducts research, convenes","Adobe Creative Suite, Event Collateral, marketing collateral, email design, Banners, Conceptual, Organized, Client Facing, Flourish, Inforgraphics",https://candidateportal.creativecircle.com/job-detail/932506
932324,Graphic Designer,Lightstone Group,"New York, NY",30,35,Hourly,Contract,Amanda Zaro,,2026-03-18 15:30,"Position Overview Our real estate client is currently seeking Freelance Designer to join their team for 5 - 6 week period starting April 23rd - May 30th. This is fully remote position (EST hours), and","Branding, Typography, MailChimp, Corporate Design, Print, email blasts, Photoshop, Real Estate, InDesign, Illustrator",https://candidateportal.creativecircle.com/job-detail/932324
932279,Graphic Designer,Children's Hospital of Philadelphia,"Philadelphia, PA",21,24,Hourly,Contract,Donna Ruch,,2026-03-17 22:43,"Overview of the Role This role focuses on developing clear, engaging visual communication that supports key business strategies. The position requires the ability to translate complex information into","Adobe Creative Suite, Graphic Design, UX/UI Design, Wireframing, User Research, Visual Design, Responsive Design, Design Systems",https://candidateportal.creativecircle.com/job-detail/932279
932225,Animator/3D Designer ,Clarity Experiences ,"Lake Forest, CA",35,45,Hourly,Contract,Andrew Shores,,2026-03-17 19:23,"Our live event production client is seeking Animator/3D Designer to join their team on part-time (15 hours per week) freelance basis for 1-2 months. If all works well during this trial period, this po","afterfeffects, AV Production, Animation, 3D Design",https://candidateportal.creativecircle.com/job-detail/932225
932207,Creative Director ,Clarity Experiences ,"Lake Forest, CA",55,70,Hourly,Contract,Andrew Shores,,2026-03-17 18:25,"Hours: 10 - 20 per week Duration: 1 - 3 months, potential to extend to ongoing, more fulltime work Location: Remote Reporting to the Chief Creative Officer, the Creative Director will act as the creat","8-15 years, Creative Direction, Copy",https://candidateportal.creativecircle.com/job-detail/932207
932187,"Associate Creative Director, Art",Accenture Canada,"Toronto, ON",75,85,Hourly,Contract,Gillian Singerman,,2026-03-17 17:15,"We are looking for an Associate Creative Director with strong art direction background to lead visual concepting, guide design teams, and elevate the craft across all creative output. You will shape t","Art Direction, Visual Design, Branding, Graphic Design, Typography, Adobe Creative Suite, Illustration, Concept Development, Team Leadership",https://candidateportal.creativecircle.com/job-detail/932187
932184,"Associate Creative Director, Copy",Accenture Canada,"Toronto, ON",70,80,Hourly,Contract,Gillian Singerman,,2026-03-17 17:12,"We are seeking an Associate Creative Director to help lead concept development, guide creative teams, and elevate the quality of work across campaigns. You will partner with strategy, account, and pro","Creative Strategy, Digital Marketing, Content Development, Brand Messaging, Social Media, SEO, Advertising, Campaign Management, Client Collaboration",https://candidateportal.creativecircle.com/job-detail/932184
932117,Production Designer,Vanguard Charitable,"Malvern, PA",30,35,Hourly,Contract,Sammy Realon,,2026-03-16 21:26,Freelance Production Designer Position Overview Our nonprofit client is seeking contract Production Designer to provide immediate production support for marketing and donor-facing collateral. This rol,"Production Designer, Brand Designer, Branding, Asset design",https://candidateportal.creativecircle.com/job-detail/932117
932103,Canva Designer ,Qwick,"Phoenix, AZ",25,30,Hourly,Contract,Avni Vachhani,,2026-03-16 20:39,"Our client is seeking creative and detail-oriented Designer to join their team. This is fully remote role, supporting team during the maternity coverage and hours will be project based (5-10 hours/wee","Canva, marketing materials, Digital Design, Visual Communication, Branding, Social Media Design, Layout Design, Typography, Image Editing, Slack",https://candidateportal.creativecircle.com/job-detail/932103
932097,Motion Designer,CGI Interactive,"Westborough, MA",,,Annually,Permanent,Miranda McAdams,,2026-03-16 20:00,"We are seeking Motion Designer for our agency client who can take projects from concept through final animation, contributing to idea development, storyboards, style frames, and polished motion work. ","Adobe After Effects, Storyboarding, Creative Direction, Adobe Photoshop, Adobe Illustrator, 3D Modeling, video editing, Graphic Design, Visual Effects, Typography",https://candidateportal.creativecircle.com/job-detail/932097
932090,Lead Product Designer,APEX/Nike,"Beaverton, OR",80,100,Hourly,Contract,Brenna Belardinelli,,2026-03-16 19:44,Lead Product Designer Position Overview As Lead Product Designer for you will be responsible for creating innovative and engaging web designs that enhance the user experience. Your role will involve c,"User Interface (UI), Prototyping, Wireframing, Graphic Design, Adobe Creative Suite, Sketch, Figma, Interaction Design, usability testing, Responsive Design",https://candidateportal.creativecircle.com/job-detail/932090
932074,Creative Director ,Smartly.io Solutions Inc.,"Chicago, IL",50,75,Hourly,Contract,Andrew Shores,,2026-03-16 18:17,"Our client, in the tech/ SaaS space, is looking for Part Time Creative Director, on the design side, to join their creative team. This role is REMOTE, client works EST hours. This is an exciting role ","Creative Director, AI, SaaS",https://candidateportal.creativecircle.com/job-detail/932074
932072,Graphic Designer ,Banner Bank,"Walla Walla, WA",40,50,Hourly,Contract,Jessica Palmer,,2026-03-16 18:10,"Our financial client is searching for Graphic Designer to support ongoing production needs for campaign and sponsorship ads. This role is focused on updating, resizing and adapting existing creative a","Graphic Design, Production Design, Digital Design",https://candidateportal.creativecircle.com/job-detail/932072
932039,Production Designer,Krispy Kreme Doughnut Corporation,"Charlotte, New York, NC, NY",30,35,Hourly,Contract,Amanda Zaro,,2026-03-16 14:38,Position Overview Our client in the CPG/QSR space is looking for freelance Production Designer to support parental leave for the month of April. You will be responsible for turning approved creative c,"Graphic Design, Typography, Layout Design, Concept Development, Brand Identity, Print Production, Digital Design, Adobe Creative Suite",https://candidateportal.creativecircle.com/job-detail/932039
931968,Graphic Designer ,Ferguson,"Fort Mitchell, KY",28,35,Hourly,Contract,Jennifer Scott,,2026-03-13 18:59,"Our retail and manufacturing client is seeking Graphic Designer to support their team on contract up to 20 hours per week through 2026. This position is fully remote, but you must be avaliable for mee","Photoshop, Illustrator, InDesign, Digital Design, Print Design, Typography, Branding, Layout Design, Illustration, Color Theory",https://candidateportal.creativecircle.com/job-detail/931968
931903,Senior Motion Designer,Dish,"Englewood, CO",40,45.67,Hourly,Contract,Brenna Belardinelli,,2026-03-13 02:06,Senior Motion Designer Position Overview We are looking for talented and experienced part-time Senior Motion Designer to join our creative team for up to 20 hours week. The ideal candidate is creative,"Animation, Adobe After Effects, Adobe Illustrator, 3D animation, Storyboarding, Visual Effects, Graphic Design, Cinema 4D, Art Direction, Creative Suite",https://candidateportal.creativecircle.com/job-detail/931903
931875,Senior Web Designer & FrontEnd Developer (Marketing),Warner Bros. Discovery,"New York, NY",44,47,Hourly,Contract,Donna Ruch,,2026-03-12 21:07,"Senior Web Designer and Front-End Developer (Marketing) Overview of the Role: This role blends visual design, UI craftsmanship, and front-end web development to deliver high-quality marketing experien","For the title ""Fullstack Designer, CSS, JavaScript, REACT, Node.js, Backend Development, Angular, User Experience Design, Responsive Design, API Integration",https://candidateportal.creativecircle.com/job-detail/931875
931865,Freelance Graphic Designer,Revolution Marketing,"New York, NY",30,40,Hourly,Contract,Amanda Zaro,,2026-03-12 20:27,"Position Overview Our client, an experiential agency, is looking for freelance Freelance Graphic Designer to assist their team starting TOMORROW, 3/13. This is fully remote project, and will be 30-40 ","Photoshop, Adobe Creative Suite, Illustrator, InDesign, Layout Design, Print Design",https://candidateportal.creativecircle.com/job-detail/931865
931863,Sr Graphic Designer,Central Garden & Pet,"Franklin, WI",35,43,Hourly,Contract,Lauren Madden,,2026-03-12 20:15,"Our CPG client is hiring Senior Graphic Designer to join their team! This role is fully remote, 40 hours/week, for 6+ months. Must be based in CST time zone or be comfortable working CST business hour","packaging design, CPG, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography, Wireframing, Prototyping, UI/UX Design",https://candidateportal.creativecircle.com/job-detail/931863
931842,Digital Production Designer,Dish,"Englewood, CO",30,35,Hourly,Contract,Alexa Kline,,2026-03-12 19:04,"We are looking for an experienced Digital Production Designer to join our creative team, remotely, 40 hours per week for 7 months with the potential to extend. The ideal candidate is detail-oriented, ","Digital Media, Adobe Creative Suite, Motion Graphics, User Interface Design, User Experience, CSS, Responsive Design, Branding, Typography, HTML",https://candidateportal.creativecircle.com/job-detail/931842
931841,Agency Graphic Designer,Dish,"Englewood, CO",31.42,36.42,Hourly,Contract,Lucy D'Angelo,,2026-03-12 18:59,"Overview of the Role Our leading television provider'internal agency is seeking Graphic Designers to support range of digital, print, and campaign initiatives. This role will contribute to both concep","Adobe Creative Suite, Branding, Advertising Agency Experience",https://candidateportal.creativecircle.com/job-detail/931841
931829,Sr Graphic Designer ,JPMorganChase,"Brooklyn, NY",45,58,Hourly,Contract,Liz Calabrese,,2026-03-12 18:08,We're looking for highly versatile Senior Designer who is as comfortable with end-to-end design support from concept development to production and print ready files. This role is ideal for designer wh,"InDesign, Illustrator, Photoshop, Pre-press Graphic Design, Art Direction, Production Design, Creative Concepting, Animation",https://candidateportal.creativecircle.com/job-detail/931829
931821,3D Designer,"Crocs, Inc.","Broomfield, CO",40,55,Hourly,Contract,Brenna Belardinelli,,2026-03-12 17:13,"3D Designer, Collectibles Position Overview The ideal candidate brings experience in collectible product design, character-based design, or licensed merchandise, and has strong capabilities across ind","Design, accesssories, Retail, Industrial Design, footwear",https://candidateportal.creativecircle.com/job-detail/931821
931739,Report Designer,Environmental Defense Fund (EDF),"New York, NY",35,38,Hourly,Contract,Jennifer Marshall,,2026-03-11 21:13,"Our client, non-profit organization based around world preservation, is currently looking for freelance Graphic Designer to assist with creating 40-45 page report to be published mid April. This is fu","Designer, Annual Report, Charts, Creative Suite",https://candidateportal.creativecircle.com/job-detail/931739
931628,Report Designer,University of Maryland College Park | UMD,"College Park, MD",42,45,Hourly,Contract,Sarah Turner,,2026-03-11 13:29,Our client is the Marketing department of University seeking Graphic Designer to lay out 90-page report that will recap 2-day event in March (23rd and 24th). This is fully remote assignment that will ,"Graphic Design, Production, Report Design",https://candidateportal.creativecircle.com/job-detail/931628
931625,UX Content Designer,Liberty Mutual Insurance,"Boston, MA",54.25,56.25,Hourly,Contract,Lucy D'Angelo,,2026-03-11 13:00,"Overview of the Role Our east coast insurance client is seeking UX Content Designer with experience supporting complex digital applications and internal tools. In this role, you will partner closely w","UX Content Design, B2B/Enterprise Tools, Cross-functional Collaboration",https://candidateportal.creativecircle.com/job-detail/931625
931623,Motion Graphics Designer + Video Editor,Walmart,"Bentonville, AR",55,60,Hourly,Contract,Jennifer Scott,,2026-03-11 02:41,Our retail client is seeking Motion Graphics Designer + Video Editor to join their team. This role is 40 hours/week remote. This is exciting for Motion Graphics Designer + Video Editor to lead motion-,"Motion Graphics designer, Storyboard, Conceptual",https://candidateportal.creativecircle.com/job-detail/931623
931559,Amazon Creative Specialist / Designer,H & H Group,"Chesterfield, MO",,,Annually,Permanent,Kristi Seifert,,2026-03-10 19:45,"Our CPG, pet brand client is seeking an Amazon Creative Specialist / Designer to join their team in full-time, direct-hire role! This is fully remote position, but the candidate must work east coast h","Figma, amazon, Design Hierarchy, CPG, ECommerce",https://candidateportal.creativecircle.com/job-detail/931559
931550,Senior Instructional Designer & Content Operations Manager,Amazon,"Seattle, WA",60,90,Hourly,Contract,Marie Hanan,,2026-03-10 19:12,"Our client is seeking Senior Instructional Designer and Content Operations Manager to support their Worldwide Sustainability team, focusing on Human Rights and Social Impact. This individual will lead","Instructional Design, Content Audit, Content Development, Kirkpatrick Model, Articulate 360",https://candidateportal.creativecircle.com/job-detail/931550
